Country,No. of Irregular Migrants,Central Mediterranean Route,Western Mediterranean Route,Western African Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,241.0,197.0,16.0,0.0,26.0,213.0,69.0
Uganda,25.0,0.0,0.0,0.0,25.0,0.0,0.0
Mali,4899.0,3688.0,73.0,1028.0,107.0,4789.0,1.0
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,222.0,0.0,0.0,0.0,222.0,0.0,0.0
Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,3.0,0.0,0.0,0.0,3.0,0.0,0.0
Angola,33.0,0.0,0.0,3.0,29.0,3.0,0.0
Kenya,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,1086.0,821.0,6.0,246.0,11.0,1073.0,1.0
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,29217.0,613.0,13556.0,9641.0,5405.0,23810.0,17.0
Niger,42.0,37.0,0.0,2.0,1.0,39.0,18.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,900.0,855.0,0.0,0.0,45.0,855.0,31.0
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,49190.0,5656.0,42844.0,0.0,688.0,48500.0,19.0
Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,484.0,293.0,3.0,11.0,175.0,307.0,2.0
Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,2161.0,2152.0,0.0,0.0,8.0,2152.0,2.0
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,8.0,2.0,0.0,5.0,0.0,7.0,2.0
Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,335.0,223.0,4.0,69.0,37.0,296.0,1.0
Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,418.0,338.0,0.0,1.0,78.0,339.0,30.0
Cameroon,102.0,83.0,0.0,1.0,16.0,84.0,0.0
Eritrea,8534.0,5837.0,8.0,8.0,2679.0,5853.0,1076.0
Senegal,5934.0,1602.0,83.0,4207.0,41.0,5892.0,3.0
Rwanda,62.0,0.0,0.0,0.0,62.0,0.0,0.0
Ethiopia,90.0,74.0,0.0,0.0,15.0,74.0,5.0
Zimbabwe,32.0,0.0,0.0,0.0,32.0,0.0,0.0
Chad,50.0,45.0,0.0,0.0,3.0,45.0,3.0
Somalia,1769.0,191.0,0.0,1.0,1576.0,192.0,9.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
