Country,No. of Irregular Migrants,Central Mediterranean Route,Western Mediterranean Route,Western African Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mali,1277.0,961.0,19.0,268.0,28.0,1248.0,0.0
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,14.0,0.0,0.0,1.0,12.0,1.0,0.0
Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,2741.0,2072.0,16.0,622.0,30.0,2710.0,4.0
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,1697.0,35.0,787.0,560.0,313.0,1382.0,1.0
Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,195.0,22.0,169.0,0.0,2.0,191.0,0.0
Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,4.0,3.0,0.0,0.0,0.0,3.0,0.0
Zambia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo,38.0,12.0,0.0,0.0,25.0,12.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,214.0,142.0,2.0,44.0,23.0,188.0,0.0
Guinea,3973.0,3551.0,39.0,297.0,83.0,3887.0,3.0
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,1574.0,1274.0,0.0,4.0,294.0,1278.0,116.0
Cameroon,242.0,197.0,0.0,4.0,39.0,201.0,0.0
Eritrea,170.0,116.0,0.0,0.0,53.0,116.0,21.0
Senegal,15100.0,4077.0,211.0,10705.0,105.0,14993.0,7.0
Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethiopia,23.0,18.0,0.0,0.0,3.0,18.0,1.0
Zimbabwe,16.0,0.0,0.0,0.0,16.0,0.0,0.0
Chad,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Somalia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
