Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No_of_Irregular_Migrants_in_UK
Libya,241,197,16,0,26,213,69
Uganda,25,0,0,0,25,0,0
Mali,4899,3688,73,1028,107,4789,1
Cape Verde,0,0,0,0,0,0,0
Djibouti,222,0,0,0,222,0,0
Malawi,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
South Africa,3,0,0,0,3,0,0
Angola,33,0,0,3,29,3,0
Kenya,1,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0
Gambia,1086,821,6,246,11,1073,1
Comoros,0,0,0,0,0,0,0
Morocco,29217,613,13556,9641,5405,23810,17
Niger,42,37,0,2,1,39,18
Burundi,0,0,0,0,0,0,0
Egypt,900,855,0,0,45,855,31
Mauritius,0,0,0,0,0,0,0
Algeria,49190,5656,42844,0,688,48500,19
Sierra Leone,0,0,0,0,0,0,0
Nigeria,484,293,3,11,175,307,2
Mozambique,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0
Tunisia,2161,2152,0,0,8,2152,2
Gabon,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Mauritania,8,2,0,5,0,7,2
Congo,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0
Ghana,335,223,4,69,37,296,1
Guinea,0,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0
Sudan,418,338,0,1,78,339,30
Cameroon,102,83,0,1,16,84,0
Eritrea,8534,5837,8,8,2679,5853,1076
Senegal,5934,1602,83,4207,41,5892,3
Rwanda,62,0,0,0,62,0,0
Ethiopia,90,74,0,0,15,74,5
Zimbabwe,32,0,0,0,32,0,0
Chad,50,45,0,0,3,45,3
Somalia,1769,191,0,1,1576,192,9
Benin,0,0,0,0,0,0,0
