Country,No. of Irregular Migrants,Central Mediterranean Route,Western Mediterranean Route,Western African Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,2.0,1.0,0.0,0.0,0.0,1.0,0.0
Uganda,55.0,0.0,0.0,0.0,55.0,0.0,0.0
Mali,426.0,320.0,6.0,89.0,9.0,415.0,0.0
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,134.0,0.0,0.0,0.0,134.0,0.0,0.0
Malawi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liberia,361.0,246.0,1.0,6.0,105.0,253.0,0.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,61.0,0.0,0.0,6.0,54.0,6.0,0.0
Kenya,3.0,0.0,0.0,0.0,2.0,0.0,0.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,45.0,34.0,0.0,10.0,0.0,44.0,0.0
Comoros,414.0,168.0,0.0,231.0,13.0,399.0,0.0
Morocco,479.0,10.0,222.0,158.0,88.0,390.0,0.0
Niger,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi,2915.0,0.0,0.0,20.0,2894.0,20.0,0.0
Egypt,21.0,19.0,0.0,0.0,1.0,19.0,0.0
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,1486.0,170.0,1294.0,0.0,20.0,1464.0,0.0
Sierra Leone,1081.0,670.0,1.0,9.0,399.0,680.0,1.0
Nigeria,292.0,176.0,2.0,7.0,105.0,185.0,1.0
Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,33.0,26.0,0.0,0.0,5.0,26.0,2.0
Zambia,2.0,0.0,2.0,0.0,0.0,2.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,9.0,7.0,0.0,0.0,1.0,7.0,0.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo,38.0,12.0,0.0,0.0,25.0,12.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,355.0,237.0,4.0,73.0,39.0,314.0,1.0
Guinea,3678.0,3288.0,36.0,275.0,77.0,3599.0,3.0
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Togo,571.0,491.0,5.0,12.0,61.0,508.0,4.0
Sudan,111.0,89.0,0.0,0.0,20.0,89.0,8.0
Cameroon,1294.0,1058.0,1.0,23.0,210.0,1082.0,5.0
Eritrea,4023.0,2751.0,4.0,4.0,1263.0,2759.0,507.0
Senegal,867.0,234.0,12.0,614.0,6.0,860.0,0.0
Rwanda,27.0,0.0,0.0,0.0,27.0,0.0,0.0
Ethiopia,49.0,40.0,0.0,0.0,8.0,40.0,3.0
Zimbabwe,14.0,0.0,0.0,0.0,14.0,0.0,0.0
Chad,54.0,49.0,0.0,0.0,4.0,49.0,3.0
Somalia,8053.0,869.0,0.0,8.0,7175.0,877.0,43.0
Benin,487.0,463.0,19.0,0.0,2.0,482.0,3.0
