Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No_of_Irregular_Migrants_in_UK
Libya,30,24,2,0,3,26,8
Uganda,503,0,0,0,503,0,0
Mali,26029,19599,390,5466,572,25455,8
Cape Verde,0,0,0,0,0,0,0
Djibouti,359,0,0,0,359,0,0
Malawi,7,0,0,0,7,0,0
Liberia,7964,5439,39,151,2333,5629,15
Namibia,0,0,0,0,0,0,0
South Africa,2,0,0,0,2,0,0
Angola,427,0,0,42,384,42,0
Kenya,16,4,0,0,12,4,2
Seychelles,0,0,0,0,0,0,0
Gambia,2901,2193,17,658,31,2868,4
Comoros,1613,658,0,903,51,1561,0
Morocco,29205,613,13551,9637,5402,23801,17
Niger,100,89,1,5,3,95,45
Burundi,19066,0,0,133,18932,133,0
Egypt,629,597,0,0,31,597,22
Mauritius,0,0,0,0,0,0,0
Algeria,44498,5117,38757,0,622,43874,17
Sierra Leone,38084,23612,38,342,14091,23992,51
Nigeria,2755,1669,19,66,1000,1754,12
Mozambique,3,3,0,0,0,3,0
Central African Republic,108,88,0,2,17,90,9
Zambia,8,0,8,0,0,8,0
Tunisia,7490,7460,0,0,29,7460,7
Gabon,40,34,0,0,5,34,0
Lesotho,0,0,0,0,0,0,0
Mauritania,17,4,0,11,0,15,6
Congo,198,64,0,2,131,66,0
Botswana,0,0,0,0,0,0,0
Ghana,2795,1867,36,581,310,2484,11
Guinea,40785,36461,407,3058,856,39926,33
Madagascar,2,0,0,0,2,0,0
Togo,3850,3314,34,84,415,3432,33
Sudan,1853,1500,0,5,346,1505,136
Cameroon,11515,9419,11,207,1876,9637,46
Eritrea,17429,11921,17,17,5472,11955,2198
Senegal,22343,6032,312,15841,156,22185,11
Rwanda,93,0,0,0,93,0,0
Ethiopia,249,205,0,0,43,205,15
Zimbabwe,124,0,0,0,124,0,0
Chad,617,560,0,7,48,567,44
Somalia,14975,1617,0,14,13342,1631,81
Benin,3615,3441,148,7,18,3596,26
