Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,2,1,0,0,0,1,0
Uganda,55,0,0,0,55,0,0
Mali,426,320,6,89,9,415,0
Cape Verde,0,0,0,0,0,0,0
Djibouti,134,0,0,0,134,0,0
Malawi,0,0,0,0,0,0,0
Liberia,361,246,1,6,105,253,0
Namibia,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0
Angola,61,0,0,6,54,6,0
Kenya,3,0,0,0,2,0,0
Seychelles,0,0,0,0,0,0,0
Gambia,45,34,0,10,0,44,0
Comoros,414,168,0,231,13,399,0
Morocco,479,10,222,158,88,390,0
Niger,0,0,0,0,0,0,0
Burundi,2915,0,0,20,2894,20,0
Egypt,21,19,0,0,1,19,0
Mauritius,0,0,0,0,0,0,0
Algeria,1486,170,1294,0,20,1464,0
Sierra Leone,1081,670,1,9,399,680,1
Nigeria,292,176,2,7,105,185,1
Mozambique,0,0,0,0,0,0,0
Central African Republic,33,26,0,0,5,26,2
Zambia,2,0,2,0,0,2,0
Tunisia,0,0,0,0,0,0,0
Gabon,9,7,0,0,1,7,0
Lesotho,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0
Congo,38,12,0,0,25,12,0
Botswana,0,0,0,0,0,0,0
Ghana,355,237,4,73,39,314,1
Guinea,3678,3288,36,275,77,3599,3
Madagascar,0,0,0,0,0,0,0
Togo,571,491,5,12,61,508,4
Sudan,111,89,0,0,20,89,8
Cameroon,1294,1058,1,23,210,1082,5
Eritrea,4023,2751,4,4,1263,2759,507
Senegal,867,234,12,614,6,860,0
Rwanda,27,0,0,0,27,0,0
Ethiopia,49,40,0,0,8,40,3
Zimbabwe,14,0,0,0,14,0,0
Chad,54,49,0,0,4,49,3
Somalia,8053,869,0,8,7175,877,43
Benin,487,463,19,0,2,482,3
