Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0
Mali,7812,5882,117,1640,171,7639,2
Cape Verde,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0
Angola,6,0,0,0,5,0,0
Kenya,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0
Morocco,44045,924,20436,14534,8148,35894,26
Niger,12,10,0,0,0,10,4
Burundi,0,0,0,0,0,0,0
Egypt,1393,1323,0,0,69,1323,49
Mauritius,0,0,0,0,0,0,0
Algeria,24572,2825,21402,0,344,24227,9
Sierra Leone,0,0,0,0,0,0,0
Nigeria,359,217,2,8,130,227,1
Mozambique,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0
Tunisia,4181,4164,0,0,16,4164,4
Gabon,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Mauritania,12,3,0,8,0,11,4
Congo,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0
Ghana,218,145,2,45,24,192,0
Guinea,0,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0
Sudan,0,0,0,0,0,0,0
Cameroon,999,817,0,17,162,834,3
Eritrea,0,0,0,0,0,0,0
Senegal,1501,405,21,1064,10,1490,0
Rwanda,0,0,0,0,0,0,0
Ethiopia,11,9,0,0,1,9,0
Zimbabwe,53,0,0,0,53,0,0
Chad,29,26,0,0,2,26,2
Somalia,213,23,0,0,189,23,1
Benin,0,0,0,0,0,0,0
