Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,447,366,31,0,49,397,129
Uganda,134,0,0,0,134,0,0
Mali,42961,32349,644,9021,945,42014,13
Cape Verde,0,0,0,0,0,0,0
Djibouti,241,0,0,0,241,0,0
Malawi,1,0,0,0,1,0,0
Liberia,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
South Africa,5,0,0,0,5,0,0
Angola,34,0,0,3,30,3,0
Kenya,7,1,0,0,5,1,0
Seychelles,0,0,0,0,0,0,0
Gambia,8150,6161,48,1850,89,8059,13
Comoros,0,0,0,0,0,0,0
Morocco,576415,12104,267456,190216,106636,469776,347
Niger,195,175,2,10,6,187,89
Burundi,0,0,0,0,0,0,0
Egypt,45223,42961,0,0,2261,42961,1601
Mauritius,0,0,0,0,0,0,0
Algeria,200094,23010,174281,0,2801,197291,80
Sierra Leone,0,0,0,0,0,0,0
Nigeria,2646,1603,18,63,960,1684,12
Mozambique,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0
Zambia,1,0,1,0,0,1,0
Tunisia,13021,12968,0,0,52,12968,13
Gabon,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Mauritania,63,18,0,42,2,60,25
Congo,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0
Ghana,1738,1160,22,361,192,1543,7
Guinea,0,0,0,0,0,0,0
Madagascar,1,0,0,0,1,0,0
Togo,0,0,0,0,0,0,0
Sudan,3884,3146,0,11,726,3157,286
Cameroon,1109,907,1,19,180,927,4
Eritrea,12101,8277,12,12,3799,8301,1526
Senegal,47524,12831,665,33694,332,47190,25
Rwanda,132,0,0,0,132,0,0
Ethiopia,639,527,0,0,110,527,40
Zimbabwe,185,0,0,0,185,0,0
Chad,118,107,0,1,9,108,8
Somalia,1525,164,0,1,1358,165,8
Benin,0,0,0,0,0,0,0
