Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0
Mali,9915,7465,148,2082,218,9695,3
Cape Verde,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0
Malawi,1,0,0,0,1,0,0
Liberia,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0
Angola,34,0,0,3,30,3,0
Kenya,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0
Morocco,159022,3339,73786,52477,29419,129602,95
Niger,35,31,0,1,1,32,15
Burundi,0,0,0,0,0,0,0
Egypt,3428,3256,0,0,171,3256,121
Mauritius,0,0,0,0,0,0,0
Algeria,52174,6000,45443,0,730,51443,21
Sierra Leone,0,0,0,0,0,0,0
Nigeria,601,364,4,14,218,382,2
Mozambique,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0
Tunisia,8296,8262,0,0,33,8262,8
Gabon,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Mauritania,17,4,0,11,0,15,6
Congo,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0
Ghana,291,194,3,60,32,257,1
Guinea,0,0,0,0,0,0,0
Madagascar,1,0,0,0,1,0,0
Togo,0,0,0,0,0,0,0
Sudan,99,80,0,0,18,80,7
Cameroon,0,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0,0
Senegal,1583,427,22,1122,11,1571,0
Rwanda,0,0,0,0,0,0,0
Ethiopia,15,12,0,0,2,12,0
Zimbabwe,137,0,0,0,137,0,0
Chad,91,82,0,1,7,83,6
Somalia,408,44,0,0,363,44,2
Benin,0,0,0,0,0,0,0
