Country,Total_Irregular_Migrants,Central_Mediterranean_Route,Western_Mediterranean_Route,Western_African_Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,0,0,0,0,0,0,0
Uganda,0,0,0,0,0,0,0
Mali,0,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0
Malawi,0,0,0,0,0,0,0
Liberia,0,0,0,0,0,0,0
Namibia,0,0,0,0,0,0,0
South Africa,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0
Seychelles,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0
Comoros,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0
Niger,0,0,0,0,0,0,0
Burundi,0,0,0,0,0,0,0
Egypt,0,0,0,0,0,0,0
Mauritius,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0
Sierra Leone,0,0,0,0,0,0,0
Nigeria,0,0,0,0,0,0,0
Mozambique,0,0,0,0,0,0,0
Central African Republic,0,0,0,0,0,0,0
Zambia,0,0,0,0,0,0,0
Tunisia,0,0,0,0,0,0,0
Gabon,0,0,0,0,0,0,0
Lesotho,0,0,0,0,0,0,0
Mauritania,0,0,0,0,0,0,0
Congo,41,13,0,0,27,13,0
Botswana,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,0,0
Madagascar,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0
Sudan,1106,895,0,3,206,898,81
Cameroon,93,76,0,1,15,77,0
Eritrea,0,0,0,0,0,0,0
Senegal,0,0,0,0,0,0,0
Rwanda,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0
Zimbabwe,0,0,0,0,0,0,0
Chad,0,0,0,0,0,0,0
Somalia,0,0,0,0,0,0,0
Benin,0,0,0,0,0,0,0
