Country,No. of Irregular Migrants,Central Mediterranean Route,Western Mediterranean Route,Western African Route,Other Routes,No. of Irregular Migrants from Northern African Route,No. of Irregular Migrants in UK
Libya,447.0,366.0,31.0,0.0,49.0,397.0,129.0
Uganda,134.0,0.0,0.0,0.0,134.0,0.0,0.0
Mali,42961.0,32349.0,644.0,9021.0,945.0,42014.0,13.0
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,241.0,0.0,0.0,0.0,241.0,0.0,0.0
Malawi,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Liberia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Africa,5.0,0.0,0.0,0.0,5.0,0.0,0.0
Angola,34.0,0.0,0.0,3.0,30.0,3.0,0.0
Kenya,7.0,1.0,0.0,0.0,5.0,1.0,0.0
Seychelles,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambia,8150.0,6161.0,48.0,1850.0,89.0,8059.0,13.0
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,576415.0,12104.0,267456.0,190216.0,106636.0,469776.0,347.0
Niger,195.0,175.0,2.0,10.0,6.0,187.0,89.0
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,45223.0,42961.0,0.0,0.0,2261.0,42961.0,1601.0
Mauritius,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,200094.0,23010.0,174281.0,0.0,2801.0,197291.0,80.0
Sierra Leone,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nigeria,2646.0,1603.0,18.0,63.0,960.0,1684.0,12.0
Mozambique,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zambia,1.0,0.0,1.0,0.0,0.0,1.0,0.0
Tunisia,13021.0,12968.0,0.0,0.0,52.0,12968.0,13.0
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lesotho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,63.0,18.0,0.0,42.0,2.0,60.0,25.0
Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ghana,1738.0,1160.0,22.0,361.0,192.0,1543.0,7.0
Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madagascar,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Togo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sudan,3884.0,3146.0,0.0,11.0,726.0,3157.0,286.0
Cameroon,1109.0,907.0,1.0,19.0,180.0,927.0,4.0
Eritrea,12101.0,8277.0,12.0,12.0,3799.0,8301.0,1526.0
Senegal,47524.0,12831.0,665.0,33694.0,332.0,47190.0,25.0
Rwanda,132.0,0.0,0.0,0.0,132.0,0.0,0.0
Ethiopia,639.0,527.0,0.0,0.0,110.0,527.0,40.0
Zimbabwe,185.0,0.0,0.0,0.0,185.0,0.0,0.0
Chad,118.0,107.0,0.0,1.0,9.0,108.0,8.0
Somalia,1525.0,164.0,0.0,1.0,1358.0,165.0,8.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
